sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0083,0.9608,0.0309
6.9,3.1,5.1,2.3,virginica,0.0133,0.0276,0.9591
5.1,2.5,3.0,1.1,versicolor,0.0349,0.9467,0.0184
4.4,2.9,,0.2,setosa,0.5022,0.3929,0.1049
5.9,3.0,5.1,1.8,virginica,0.013,0.2435,0.7435
5.5,3.5,1.3,0.2,setosa,0.958,0.0238,0.0182
5.6,,3.6,1.3,versicolor,0.0377,0.9504,0.0119
6.5,3.0,5.2,2.0,virginica,0.0097,0.0452,0.9451
5.3,3.7,1.5,0.2,setosa,0.9649,0.0192,0.0158
5.1,3.4,1.5,,setosa,0.7662,0.1693,0.0645
6.1,2.8,4.0,1.3,versicolor,0.0131,0.9767,0.0101
5.5,2.4,3.7,1.0,versicolor,0.0138,0.9759,0.0103
7.7,3.0,6.1,2.3,virginica,0.0241,0.033,0.9429
6.9,3.1,4.9,1.5,versicolor,0.0202,0.7164,0.2634
6.0,2.2,5.0,1.5,versicolor,0.0213,0.5217,0.457
